Treatments,Sprouting,Height_30days,Height_60days,Height_90days,No_of_leaves_30,No_of_leaves_60,No_of_leaves_90,Leaf_area(cm2),spike_emergence,spikes ,Length_of_spike,Length_of_Rachis,florets,Diameter ,Flower_durations
T1,14.22,24.77,50.12,57.67,9.61,12.69,24.12,923.11,82.12,1.25,86.18,28.2,40.67,3.35,14.37
T2,13.81,26.74,53.04,61.12,10.52,14.32,25.78,1041.09,81.21,1.29,88.28,29.27,43.71,3.95,15.0
T3,13.92,28.03,54.25,61.4,10.48,14.28,25.65,1222.68,80.04,1.62,90.75,29.75,45.73,4.35,15.45
T4,13.8,28.09,54.28,61.55,10.54,13.72,25.15,1224.12,80.06,1.63,90.77,29.82,45.78,4.37,15.6
T5,13.83,28.15,54.36,61.67,10.92,14.41,26.39,1179.18,78.18,1.95,93.25,30.55,47.62,4.41,16.25
T6,13.5,28.18,54.42,61.72,10.93,14.44,26.42,1182.79,78.02,1.96,93.29,30.58,47.71,4.43,16.35
T7,13.62,29.04,56.14,63.07,12.33,15.62,27.66,1354.18,76.98,2.07,94.87,31.82,48.02,4.46,17.02
T8,13.61,29.08,56.18,63.12,12.35,15.63,27.71,1355.04,76.86,2.1,94.92,31.87,48.06,4.49,17.25
T9,12.91,31.53,57.41,65.96,12.72,18.53,29.15,1512.76,74.12,3.4,98.98,33.87,51.81,4.96,19.78
T10,12.9,31.55,57.47,65.98,12.74,18.56,29.25,1516.06,74.06,3.52,99.02,33.92,51.96,4.98,19.95
T11,13.01,30.64,56.86,64.72,12.31,17.48,28.16,1423.21,74.98,3.12,98.42,32.91,50.82,4.57,18.52
T12,12.99,30.68,56.94,64.81,12.34,17.55,28.51,1424.06,74.87,3.15,98.51,32.96,50.94,4.6,18.6
